      t(s)           distancia            ln(d/d0)           lambda(t)
  0.010000            0.100354            0.003530            0.353021
  0.020000            0.101451            0.014409            0.720459
  0.030000            0.103270            0.032173            1.072420
  0.040000            0.105779            0.056184            1.404600
  0.050000            0.108939            0.085618            1.712352
  0.060000            0.112706            0.119611            1.993516
  0.070000            0.117039            0.157335            2.247646
  0.080000            0.121895            0.197988            2.474848
  0.090000            0.127232            0.240845            2.676055
  0.100000            0.133015            0.285295            2.852954
  0.110000            0.139213            0.330837            3.007613
  0.120000            0.145795            0.377033            3.141944
  0.130000            0.152740            0.423570            3.258231
  0.140000            0.160025            0.470162            3.358298
  0.150000            0.167635            0.516617            3.444115
  0.160000            0.175553            0.562771            3.517320
  0.170000            0.183769            0.608507            3.579451
  0.180000            0.192274            0.653751            3.631947
  0.190000            0.201059            0.698428            3.675937
  0.200000            0.210120            0.742510            3.712550
  0.210000            0.219453            0.785968            3.742705
  0.220000            0.229054            0.828789            3.767225
  0.230000            0.238923            0.870971            3.786832
  0.240000            0.249061            0.912528            3.802200
  0.250000            0.259468            0.953463            3.813852
  0.260000            0.270150            0.993806            3.822331
  0.270000            0.281111            1.033580            3.828074
  0.280000            0.292361            1.072818            3.831493
  0.290000            0.303909            1.111559            3.832961
  0.300000            0.315770            1.149845            3.832817
  0.310000            0.327962            1.187728            3.831382
  0.320000            0.340506            1.225263            3.828946
  0.330000            0.353421            1.262490            3.825728
  0.340000            0.366732            1.299462            3.821947
  0.350000            0.380444            1.336168            3.817624
  0.360000            0.394539            1.372547            3.812631
  0.370000            0.408940            1.408398            3.806481
  0.380000            0.423493            1.443368            3.798336
  0.390000            0.437993            1.477033            3.787265
  0.400000            0.452234            1.509031            3.772577
  0.410000            0.466067            1.539159            3.754046
  0.420000            0.479395            1.567355            3.731799
  0.430000            0.492170            1.593654            3.706172
  0.440000            0.504371            1.618143            3.677597
  0.450000            0.515990            1.640918            3.646485
  0.460000            0.527029            1.662085            3.613227
  0.470000            0.537487            1.681734            3.578158
  0.480000            0.547366            1.699948            3.541557
  0.490000            0.556671            1.716805            3.503683
  0.500000            0.565402            1.732367            3.464734
  0.510000            0.573560            1.746693            3.424888
  0.520000            0.581146            1.759831            3.384290
  0.530000            0.588162            1.771832            3.343079
  0.540000            0.594611            1.782737            3.301364
  0.550000            0.600493            1.792580            3.259237
  0.560000            0.605812            1.801400            3.216786
  0.570000            0.610573            1.809228            3.174084
  0.580000            0.614779            1.816092            3.131193
  0.590000            0.618435            1.822023            3.088174
  0.600000            0.621548            1.827043            3.045072
  0.610000            0.624126            1.831182            3.001937
  0.620000            0.626174            1.834459            2.958805
  0.630000            0.627703            1.836897            2.915710
  0.640000            0.628723            1.838520            2.872688
  0.650000            0.629242            1.839345            2.829762
  0.660000            0.629272            1.839394            2.786960
  0.670000            0.628825            1.838683            2.744303
  0.680000            0.627913            1.837231            2.701810
  0.690000            0.626546            1.835052            2.659495
  0.700000            0.624739            1.832164            2.617377
  0.710000            0.622503            1.828578            2.575462
  0.720000            0.619853            1.824312            2.533767
  0.730000            0.616801            1.819377            2.492297
  0.740000            0.613359            1.813780            2.451054
  0.750000            0.609540            1.807534            2.410045
  0.760000            0.605355            1.800646            2.369271
  0.770000            0.600817            1.793120            2.328727
  0.780000            0.595936            1.784963            2.288414
  0.790000            0.590723            1.776176            2.248325
  0.800000            0.585186            1.766759            2.208448
  0.810000            0.579334            1.756708            2.168776
  0.820000            0.573177            1.746024            2.129298
  0.830000            0.566721            1.734696            2.089996
  0.840000            0.559970            1.722713            2.050849
  0.850000            0.552931            1.710062            2.011838
  0.860000            0.545606            1.696727            1.972939
  0.870000            0.538001            1.682690            1.934126
  0.880000            0.530113            1.667920            1.895364
  0.890000            0.521944            1.652391            1.856619
  0.900000            0.513494            1.636069            1.817854
  0.910000            0.504760            1.618913            1.779025
  0.920000            0.495740            1.600881            1.740088
  0.930000            0.486427            1.581917            1.700986
  0.940000            0.476817            1.561963            1.661663
  0.950000            0.466903            1.540952            1.622055
  0.960000            0.456675            1.518801            1.582084
  0.970000            0.446126            1.495432            1.541682
  0.980000            0.435244            1.470736            1.500751
  0.990000            0.424017            1.444603            1.459195
  1.000000            0.412431            1.416900            1.416900
  1.010000            0.400475            1.387480            1.373743
  1.020000            0.388130            1.356171            1.329580
  1.030000            0.375383            1.322777            1.284249
  1.040000            0.362216            1.287071            1.237569
  1.050000            0.348614            1.248795            1.189329
  1.060000            0.334560            1.207647            1.139289
  1.070000            0.320040            1.163277            1.087175
  1.080000            0.305038            1.115268            1.032655
  1.090000            0.289533            1.063100            0.975321
  1.100000            0.273495            1.006114            0.914649
  1.110000            0.256878            0.943429            0.849936
  1.120000            0.239653            0.874023            0.780378
  1.130000            0.221904            0.797073            0.705375
  1.140000            0.203890            0.712412            0.624923
  1.150000            0.186020            0.620686            0.539727
  1.160000            0.168734            0.523151            0.450992
  1.170000            0.152454            0.421695            0.360423
  1.180000            0.137621            0.319336            0.270624
  1.190000            0.124737            0.221036            0.185744
  1.200000            0.114390            0.134440            0.112033
  1.210000            0.107220            0.069715            0.057616
  1.220000            0.103779            0.037091            0.030403
  1.230000            0.104314            0.042237            0.034339
  1.240000            0.108654            0.082997            0.066933
  1.250000            0.116263            0.150684            0.120548
  1.260000            0.126446            0.234643            0.186224
  1.270000            0.138535            0.325955            0.256658
  1.280000            0.151983            0.418599            0.327031
  1.290000            0.166368            0.509034            0.394600
  1.300000            0.181381            0.595430            0.458023
  1.310000            0.196795            0.676994            0.516789
  1.320000            0.212441            0.753495            0.570830
  1.330000            0.228195            0.825029            0.620323
  1.340000            0.243961            0.891839            0.665552
  1.350000            0.259662            0.954212            0.706824
  1.360000            0.275241            1.012476            0.744468
  1.370000            0.290648            1.066941            0.778789
  1.380000            0.305842            1.117899            0.810072
  1.390000            0.320789            1.165614            0.838571
  1.400000            0.335457            1.210325            0.864518
  1.410000            0.349825            1.252264            0.888130
  1.420000            0.363865            1.291612            0.909586
  1.430000            0.377558            1.328553            0.929058
  1.440000            0.390886            1.363246            0.946698
  1.450000            0.403830            1.395823            0.962637
  1.460000            0.416375            1.426417            0.976998
  1.470000            0.428507            1.455138            0.989890
  1.480000            0.440214            1.482090            1.001412
  1.490000            0.451482            1.507365            1.011654
  1.500000            0.462298            1.531040            1.020693
  1.510000            0.472655            1.553196            1.028607
  1.520000            0.482542            1.573897            1.035459
  1.530000            0.491947            1.593202            1.041308
  1.540000            0.500867            1.611170            1.046214
  1.550000            0.509289            1.627845            1.050223
  1.560000            0.517207            1.643272            1.053380
  1.570000            0.524616            1.657496            1.055730
  1.580000            0.531506            1.670545            1.057307
  1.590000            0.537873            1.682452            1.058146
  1.600000            0.543709            1.693244            1.058277
  1.610000            0.549010            1.702947            1.057731
  1.620000            0.553769            1.711577            1.056529
  1.630000            0.557978            1.719149            1.054693
  1.640000            0.561633            1.725678            1.052243
  1.650000            0.564727            1.731172            1.049195
  1.660000            0.567250            1.735631            1.045561
  1.670000            0.569197            1.739057            1.041351
  1.680000            0.570558            1.741444            1.036574
  1.690000            0.571324            1.742787            1.031235
  1.700000            0.571482            1.743063            1.025331
  1.710000            0.571022            1.742258            1.018864
  1.720000            0.569926            1.740337            1.011824
  1.730000            0.568182            1.737272            1.004204
  1.740000            0.565767            1.733012            0.995984
  1.750000            0.562661            1.727508            0.987147
  1.760000            0.558839            1.720692            0.977666
  1.770000            0.554270            1.712481            0.967504
  1.780000            0.548920            1.702783            0.956620
  1.790000            0.542752            1.691483            0.944962
  1.800000            0.535721            1.678442            0.932468
  1.810000            0.527777            1.663503            0.919062
  1.820000            0.518860            1.646464            0.904650
  1.830000            0.508910            1.627101            0.889126
  1.840000            0.497860            1.605148            0.872363
  1.850000            0.485634            1.580285            0.854208
  1.860000            0.472153            1.552132            0.834479
  1.870000            0.457319            1.520212            0.812948
  1.880000            0.441012            1.483901            0.789309
  1.890000            0.423080            1.442392            0.763170
  1.900000            0.403428            1.394827            0.734120
  1.910000            0.382203            1.340782            0.701980
  1.920000            0.359999            1.280931            0.667152
  1.930000            0.337744            1.217118            0.630631
  1.940000            0.316317            1.151574            0.593595
  1.950000            0.296252            1.086039            0.556943
  1.960000            0.277718            1.021436            0.521141
  1.970000            0.260659            0.958042            0.486316
  1.980000            0.244918            0.895753            0.452401
  1.990000            0.230319            0.834295            0.419244
  2.000000            0.216696            0.773327            0.386663
  2.010000            0.203904            0.712481            0.354468
  2.020000            0.191824            0.651407            0.322479
  2.030000            0.180355            0.589755            0.290520
  2.040000            0.169417            0.527190            0.258427
  2.050000            0.158941            0.463364            0.226031
  2.060000            0.148877            0.397949            0.193179
  2.070000            0.139183            0.330618            0.159719
  2.080000            0.129825            0.261014            0.125487
  2.090000            0.120781            0.188808            0.090339
  2.100000            0.112035            0.113643            0.054116
  2.110000            0.103587            0.035239            0.016701
  2.120000            0.095438           -0.046690           -0.022024
  2.130000            0.087609           -0.132283           -0.062105
  2.140000            0.080135           -0.221460           -0.103486
  2.150000            0.073065           -0.313821           -0.145963
  2.160000            0.066482           -0.408232           -0.188996
  2.170000            0.060497           -0.502570           -0.231599
  2.180000            0.055261           -0.593098           -0.272063
  2.190000            0.050965           -0.674022           -0.307773
  2.200000            0.047827           -0.737570           -0.335259
  2.210000            0.046048           -0.775490           -0.350900
  2.220000            0.045755           -0.781866           -0.352192
  2.230000            0.046948           -0.756124           -0.339069
  2.240000            0.049493           -0.703332           -0.313988
  2.250000            0.053170           -0.631668           -0.280742
  2.260000            0.057739           -0.549230           -0.243022
  2.270000            0.062984           -0.462294           -0.203654
  2.280000            0.068723           -0.375081           -0.164509
  2.290000            0.074821           -0.290075           -0.126670
  2.300000            0.081168           -0.208654           -0.090719
  2.310000            0.087685           -0.131422           -0.056893
  2.320000            0.094306           -0.058622           -0.025268
  2.330000            0.100983            0.009787            0.004200
  2.340000            0.107674            0.073940            0.031598
  2.350000            0.114339            0.133994            0.057019
  2.360000            0.120949            0.190201            0.080594
  2.370000            0.127476            0.242760            0.102430
  2.380000            0.133891            0.291853            0.122627
  2.390000            0.140166            0.337657            0.141279
  2.400000            0.146276            0.380323            0.158468
  2.410000            0.152194            0.419987            0.174268
  2.420000            0.157893            0.456746            0.188738
  2.430000            0.163345            0.490693            0.201931
  2.440000            0.168517            0.521866            0.213879
  2.450000            0.173382            0.550326            0.224623
  2.460000            0.177905            0.576077            0.234178
  2.470000            0.182047            0.599096            0.242549
  2.480000            0.185776            0.619370            0.249746
  2.490000            0.189047            0.636827            0.255754
  2.500000            0.191819            0.651381            0.260552
  2.510000            0.194045            0.662918            0.264111
  2.520000            0.195672            0.671270            0.266377
  2.530000            0.196652            0.676264            0.267298
  2.540000            0.196928            0.677668            0.266798
  2.550000            0.196446            0.675217            0.264791
  2.560000            0.195150            0.668598            0.261171
  2.570000            0.192995            0.657495            0.255835
  2.580000            0.189946            0.641568            0.248670
  2.590000            0.185993            0.620539            0.239590
  2.600000            0.181170            0.594267            0.228564
  2.610000            0.175567            0.562848            0.215651
  2.620000            0.169350            0.526800            0.201069
  2.630000            0.162747            0.487029            0.185182
  2.640000            0.155970            0.444491            0.168368
  2.650000            0.149036            0.399021            0.150574
  2.660000            0.141593            0.347785            0.130746
  2.670000            0.132940            0.284726            0.106639
  2.680000            0.122458            0.202595            0.075595
  2.690000            0.110159            0.096752            0.035967
  2.700000            0.096948           -0.030991           -0.011478
  2.710000            0.084361           -0.170063           -0.062754
  2.720000            0.073949           -0.301800           -0.110956
  2.730000            0.066678           -0.405299           -0.148461
  2.740000            0.062640           -0.467764           -0.170717
  2.750000            0.061202           -0.490988           -0.178541
  2.760000            0.061438           -0.487143           -0.176501
  2.770000            0.062515           -0.469759           -0.169588
  2.780000            0.063850           -0.448631           -0.161378
  2.790000            0.065084           -0.429492           -0.153940
  2.800000            0.066027           -0.415108           -0.148253
  2.810000            0.066589           -0.406625           -0.144706
  2.820000            0.066738           -0.404401           -0.143405
  2.830000            0.066474           -0.408362           -0.144298
  2.840000            0.065817           -0.418294           -0.147287
  2.850000            0.064794           -0.433963           -0.152268
  2.860000            0.063440           -0.455083           -0.159120
  2.870000            0.061788           -0.481462           -0.167757
  2.880000            0.059876           -0.512899           -0.178090
  2.890000            0.057743           -0.549166           -0.190023
  2.900000            0.055427           -0.590106           -0.203485
  2.910000            0.052969           -0.635454           -0.218369
  2.920000            0.050421           -0.684769           -0.234510
  2.930000            0.047830           -0.737508           -0.251709
  2.940000            0.045262           -0.792712           -0.269630
  2.950000            0.042785           -0.848980           -0.287790
  2.960000            0.040488           -0.904169           -0.305463
  2.970000            0.038472           -0.955245           -0.321631
  2.980000            0.036851           -0.998283           -0.334994
  2.990000            0.035746           -1.028724           -0.344055
  3.000000            0.035272           -1.042071           -0.347357
  3.010000            0.035514           -1.035234           -0.343932
  3.020000            0.036518           -1.007374           -0.333568
  3.030000            0.038275           -0.960378           -0.316957
  3.040000            0.040738           -0.898017           -0.295400
  3.050000            0.043834           -0.824771           -0.270417
  3.060000            0.047479           -0.744886           -0.243427
  3.070000            0.051598           -0.661682           -0.215531
  3.080000            0.056123           -0.577619           -0.187539
  3.090000            0.061002           -0.494270           -0.159958
  3.100000            0.066193           -0.412602           -0.133097
  3.110000            0.071664           -0.333183           -0.107133
  3.120000            0.077397           -0.256220           -0.082122
  3.130000            0.083379           -0.181777           -0.058076
  3.140000            0.089604           -0.109769           -0.034958
  3.150000            0.096077           -0.040021           -0.012705
  3.160000            0.102804            0.027650            0.008750
  3.170000            0.109801            0.093501            0.029496
  3.180000            0.117087            0.157749            0.049607
  3.190000            0.124693            0.220688            0.069181
  3.200000            0.132655            0.282581            0.088307
  3.210000            0.141013            0.343685            0.107067
  3.220000            0.149824            0.404288            0.125555
  3.230000            0.159151            0.464686            0.143866
  3.240000            0.169071            0.525148            0.162083
  3.250000            0.179673            0.585971            0.180299
  3.260000            0.191066            0.647451            0.198605
  3.270000            0.203378            0.709898            0.217094
  3.280000            0.216754            0.773593            0.235852
  3.290000            0.231361            0.838811            0.254958
  3.300000            0.247386            0.905780            0.274479
  3.310000            0.265018            0.974627            0.294449
  3.320000            0.284425            1.045298            0.314849
  3.330000            0.305706            1.117453            0.335571
  3.340000            0.328798            1.190274            0.356370
  3.350000            0.353390            1.262402            0.376836
  3.360000            0.378842            1.331950            0.396414
  3.370000            0.404262            1.396894            0.414508
  3.380000            0.428724            1.455643            0.430664
  3.390000            0.451507            1.507420            0.444667
  3.400000            0.472216            1.552267            0.456549
  3.410000            0.490716            1.590695            0.466479
  3.420000            0.507006            1.623352            0.474664
  3.430000            0.521144            1.650855            0.481299
  3.440000            0.533230            1.673782            0.486565
  3.450000            0.543396            1.692668            0.490628
  3.460000            0.551801            1.708018            0.493647
  3.470000            0.558613            1.720286            0.495760
  3.480000            0.563988            1.729863            0.497087
  3.490000            0.568081            1.737094            0.497735
  3.500000            0.571021            1.742257            0.497788
  3.510000            0.572928            1.745590            0.497319
  3.520000            0.573902            1.747289            0.496389
  3.530000            0.574031            1.747514            0.495046
  3.540000            0.573395            1.746405            0.493335
  3.550000            0.572056            1.744067            0.491286
  3.560000            0.570076            1.740599            0.488932
  3.570000            0.567501            1.736073            0.486295
  3.580000            0.564377            1.730552            0.483394
  3.590000            0.560741            1.724089            0.480248
  3.600000            0.556625            1.716721            0.476867
  3.610000            0.552057            1.708481            0.473263
  3.620000            0.547065            1.699398            0.469447
  3.630000            0.541667            1.689480            0.465422
  3.640000            0.535883            1.678745            0.461194
  3.650000            0.529726            1.667190            0.456764
  3.660000            0.523212            1.654817            0.452136
  3.670000            0.516351            1.641617            0.447307
  3.680000            0.509152            1.627576            0.442276
  3.690000            0.501623            1.612679            0.437040
  3.700000            0.493767            1.596894            0.431593
  3.710000            0.485591            1.580197            0.425929
  3.720000            0.477097            1.562549            0.420040
  3.730000            0.468285            1.543906            0.413916
  3.740000            0.459154            1.524216            0.407544
  3.750000            0.449707            1.503426            0.400914
  3.760000            0.439938            1.481463            0.394006
  3.770000            0.429847            1.458258            0.386806
  3.780000            0.419430            1.433727            0.379293
  3.790000            0.408682            1.407767            0.371443
  3.800000            0.397602            1.380281            0.363232
  3.810000            0.386182            1.351138            0.354629
  3.820000            0.374421            1.320210            0.345605
  3.830000            0.362317            1.287349            0.336122
  3.840000            0.349866            1.252379            0.326140
  3.850000            0.337073            1.215129            0.315618
  3.860000            0.323942            1.175395            0.304507
  3.870000            0.310489            1.132978            0.292759
  3.880000            0.296733            1.087662            0.280325
  3.890000            0.282710            1.039252            0.267160
  3.900000            0.268476            0.987591            0.253229
  3.910000            0.254119            0.932631            0.238525
  3.920000            0.239767            0.874497            0.223086
  3.930000            0.225616            0.813666            0.207040
  3.940000            0.211956            0.751207            0.190662
  3.950000            0.199205            0.689163            0.174472
  3.960000            0.187960            0.631058            0.159358
  3.970000            0.179033            0.582397            0.146700
  3.980000            0.173430            0.550601            0.138342
  3.990000            0.172240            0.543719            0.136270
  4.000000            0.176382            0.567481            0.141870
  4.010000            0.186283            0.622098            0.155137
  4.020000            0.201685            0.701537            0.174512
  4.030000            0.221678            0.796057            0.197533
  4.040000            0.244952            0.895892            0.221756
  4.050000            0.270162            0.993850            0.245395
  4.060000            0.296279            1.086132            0.267520
  4.070000            0.322752            1.171714            0.287890
  4.080000            0.349390            1.251019            0.306622
  4.090000            0.376113            1.324720            0.323892
  4.100000            0.402750            1.393145            0.339791
  4.110000            0.429025            1.456344            0.354342
  4.120000            0.454641            1.514339            0.367558
  4.130000            0.479359            1.567280            0.379487
  4.140000            0.503023            1.615466            0.390209
  4.150000            0.525551            1.659276            0.399826
  4.160000            0.546914            1.699121            0.408443
  4.170000            0.567118            1.735398            0.416163
  4.180000            0.586189            1.768473            0.423080
  4.190000            0.604161            1.798670            0.429277
  4.200000            0.621071            1.826275            0.434827
  4.210000            0.636958            1.851533            0.439794
  4.220000            0.651859            1.874658            0.444232
  4.230000            0.665810            1.895834            0.448188
  4.240000            0.678842            1.915219            0.451703
  4.250000            0.690986            1.932949            0.454812
  4.260000            0.702266            1.949142            0.457545
  4.270000            0.712707            1.963901            0.459930
  4.280000            0.722333            1.977316            0.461990
  4.290000            0.731161            1.989464            0.463744
  4.300000            0.739211            2.000413            0.465212
  4.310000            0.746500            2.010225            0.466409
  4.320000            0.753040            2.018948            0.467349
  4.330000            0.758848            2.026631            0.468044
  4.340000            0.763932            2.033309            0.468504
  4.350000            0.768309            2.039022            0.468741
  4.360000            0.771985            2.043795            0.468760
  4.370000            0.774971            2.047656            0.468571
  4.380000            0.777273            2.050622            0.468179
  4.390000            0.778902            2.052715            0.467589
  4.400000            0.779862            2.053947            0.466806
  4.410000            0.780160            2.054328            0.465834
  4.420000            0.779798            2.053865            0.464675
  4.430000            0.778783            2.052563            0.463332
  4.440000            0.777115            2.050418            0.461806
  4.450000            0.774796            2.047429            0.460096
  4.460000            0.771827            2.043591            0.458204
  4.470000            0.768207            2.038889            0.456127
  4.480000            0.763932            2.033309            0.453864
  4.490000            0.758999            2.026830            0.451410
  4.500000            0.753403            2.019431            0.448762
  4.510000            0.747135            2.011076            0.445915
  4.520000            0.740187            2.001733            0.442861
  4.530000            0.732547            1.991357            0.439593
  4.540000            0.724202            1.979901            0.436102
  4.550000            0.715135            1.967302            0.432374
  4.560000            0.705327            1.953492            0.428397
  4.570000            0.694757            1.938391            0.424156
  4.580000            0.683398            1.921907            0.419630
  4.590000            0.671223            1.903932            0.414800
  4.600000            0.658200            1.884338            0.409639
  4.610000            0.644295            1.862987            0.404119
  4.620000            0.629468            1.839705            0.398204
  4.630000            0.613679            1.814301            0.391858
  4.640000            0.596885            1.786554            0.385033
  4.650000            0.579043            1.756206            0.377679
  4.660000            0.560112            1.722966            0.369735
  4.670000            0.540058            1.686506            0.361136
  4.680000            0.518848            1.646441            0.351804
  4.690000            0.496463            1.602338            0.341650
  4.700000            0.472876            1.553663            0.330567
  4.710000            0.448043            1.499719            0.318412
  4.720000            0.421877            1.439544            0.304988
  4.730000            0.394251            1.371817            0.290025
  4.740000            0.365062            1.294896            0.273185
  4.750000            0.334399            1.207165            0.254140
  4.760000            0.302694            1.107553            0.232679
  4.770000            0.270785            0.996157            0.208838
  4.780000            0.239784            0.874568            0.182964
  4.790000            0.210877            0.746106            0.155763
  4.800000            0.185168            0.616096            0.128353
  4.810000            0.163649            0.492554            0.102402
  4.820000            0.147203            0.386645            0.080217
  4.830000            0.136528            0.311356            0.064463
  4.840000            0.131911            0.276956            0.057222
  4.850000            0.133012            0.285266            0.058818
  4.860000            0.138902            0.328601            0.067613
  4.870000            0.148392            0.394687            0.081045
  4.880000            0.160359            0.472245            0.096771
  4.890000            0.173916            0.553403            0.113170
  4.900000            0.188424            0.633524            0.129291
  4.910000            0.203442            0.710210            0.144646
  4.920000            0.218676            0.782421            0.159029
  4.930000            0.233925            0.849830            0.172379
  4.940000            0.249053            0.912494            0.184715
  4.950000            0.263969            0.970661            0.196093
  4.960000            0.278612            1.024650            0.206583
  4.970000            0.292935            1.074782            0.216254
  4.980000            0.306909            1.121381            0.225177
  4.990000            0.320510            1.164745            0.233416
  5.000000            0.333722            1.205137            0.241027
  5.010000            0.346530            1.242800            0.248064
  5.020000            0.358928            1.277952            0.254572
  5.030000            0.370904            1.310774            0.260591
  5.040000            0.382452            1.341432            0.266157
  5.050000            0.393564            1.370073            0.271302
  5.060000            0.404235            1.396825            0.276052
  5.070000            0.414455            1.421795            0.280433
  5.080000            0.424219            1.445080            0.284465
  5.090000            0.433520            1.466767            0.288166
  5.100000            0.442348            1.486927            0.291554
  5.110000            0.450695            1.505621            0.294642
  5.120000            0.458553            1.522906            0.297443
  5.130000            0.465910            1.538823            0.299965
  5.140000            0.472757            1.553411            0.302220
  5.150000            0.479083            1.566703            0.304214
  5.160000            0.484873            1.578717            0.305953
  5.170000            0.490115            1.589469            0.307441
  5.180000            0.494795            1.598974            0.308682
  5.190000            0.498897            1.607229            0.309678
  5.200000            0.502402            1.614231            0.310429
  5.210000            0.505295            1.619972            0.310935
  5.220000            0.507553            1.624431            0.311194
  5.230000            0.509157            1.627586            0.311202
  5.240000            0.510083            1.629402            0.310955
  5.250000            0.510303            1.629835            0.310445
  5.260000            0.509791            1.628831            0.309664
  5.270000            0.508517            1.626329            0.308601
  5.280000            0.506448            1.622252            0.307245
  5.290000            0.503548            1.616508            0.305578
  5.300000            0.499777            1.608992            0.303583
  5.310000            0.495095            1.599579            0.301239
  5.320000            0.489453            1.588119            0.298519
  5.330000            0.482807            1.574447            0.295394
  5.340000            0.475104            1.558364            0.291828
  5.350000            0.466291            1.539639            0.287783
  5.360000            0.456318            1.518019            0.283213
  5.370000            0.445135            1.493207            0.278065
  5.380000            0.432702            1.464879            0.272282
  5.390000            0.418991            1.432678            0.265803
  5.400000            0.403987            1.396213            0.258558
  5.410000            0.387699            1.355059            0.250473
  5.420000            0.370146            1.308728            0.241463
  5.430000            0.351342            1.256589            0.231416
  5.440000            0.331264            1.197744            0.220174
  5.450000            0.309837            1.130876            0.207500
  5.460000            0.286975            1.054224            0.193081
  5.470000            0.262688            0.965798            0.176563
  5.480000            0.237222            0.863826            0.157633
  5.490000            0.211136            0.747334            0.136126
  5.500000            0.185270            0.616644            0.112117
  5.510000            0.160603            0.473768            0.085983
  5.520000            0.138077            0.322643            0.058450
  5.530000            0.118471            0.169499            0.030651
  5.540000            0.102375            0.023470            0.004236
  5.550000            0.090193           -0.103215           -0.018597
  5.560000            0.082107           -0.197146           -0.035458
  5.570000            0.077958           -0.249003           -0.044704
  5.580000            0.077201           -0.258759           -0.046373
  5.590000            0.079020           -0.235474           -0.042124
  5.600000            0.082563           -0.191603           -0.034215
  5.610000            0.087123           -0.137852           -0.024573
  5.620000            0.092182           -0.081402           -0.014484
  5.630000            0.097399           -0.026357           -0.004682
  5.640000            0.102552            0.025202            0.004468
  5.650000            0.107512            0.072431            0.012820
  5.660000            0.112197            0.115086            0.020333
  5.670000            0.116563            0.153258            0.027030
  5.680000            0.120588            0.187211            0.032960
  5.690000            0.124263            0.217234            0.038178
  5.700000            0.127589            0.243646            0.042745
  5.710000            0.130570            0.266737            0.046714
  5.720000            0.133210            0.286756            0.050132
  5.730000            0.135524            0.303978            0.053050
  5.740000            0.137517            0.318578            0.055501
  5.750000            0.139198            0.330730            0.057518
  5.760000            0.140579            0.340601            0.059132
  5.770000            0.141666            0.348303            0.060364
  5.780000            0.142464            0.353922            0.061232
  5.790000            0.142983            0.357554            0.061754
  5.800000            0.143223            0.359236            0.061937
  5.810000            0.143190            0.359003            0.061791
  5.820000            0.142887            0.356884            0.061320
  5.830000            0.142312            0.352853            0.060524
  5.840000            0.141469            0.346908            0.059402
  5.850000            0.140350            0.338967            0.057943
  5.860000            0.138958            0.329000            0.056143
  5.870000            0.137284            0.316883            0.053983
  5.880000            0.135326            0.302514            0.051448
  5.890000            0.133077            0.285759            0.048516
  5.900000            0.130529            0.266426            0.045157
  5.910000            0.127677            0.244332            0.041342
  5.920000            0.124513            0.219237            0.037033
  5.930000            0.121032            0.190882            0.032189
  5.940000            0.117230            0.158969            0.026763
  5.950000            0.113112            0.123211            0.020708
  5.960000            0.108689            0.083321            0.013980
  5.970000            0.103984            0.039067            0.006544
  5.980000            0.099044           -0.009611           -0.001607
  5.990000            0.093947           -0.062444           -0.010425
  6.000000            0.088828           -0.118465           -0.019744
  6.010000            0.083899           -0.175561           -0.029211
  6.020000            0.079485           -0.229598           -0.038139
  6.030000            0.076070           -0.273516           -0.045359
  6.040000            0.074293           -0.297157           -0.049198
  6.050000            0.074903           -0.288971           -0.047764
  6.060000            0.078590           -0.240921           -0.039756
  6.070000            0.085786           -0.153313           -0.025257
  6.080000            0.096571           -0.034887           -0.005738
  6.090000            0.110740            0.102019            0.016752
  6.100000            0.127913            0.246178            0.040357
  6.110000            0.147596            0.389310            0.063717
  6.120000            0.169189            0.525846            0.085923
  6.130000            0.191991            0.652278            0.106407
  6.140000            0.215242            0.766593            0.124852
  6.150000            0.238240            0.868110            0.141156
  6.160000            0.260431            0.957166            0.155384
  6.170000            0.281465            1.034837            0.167721
  6.180000            0.301173            1.102515            0.178401
  6.190000            0.319497            1.161578            0.187654
  6.200000            0.336411            1.213163            0.195671
  6.210000            0.351883            1.258130            0.202597
  6.220000            0.365876            1.297124            0.208541
  6.230000            0.378365            1.330689            0.213594
  6.240000            0.389357            1.359326            0.217841
  6.250000            0.398895            1.383527            0.221364
  6.260000            0.407042            1.403745            0.224240
  6.270000            0.413881            1.420408            0.226540
  6.280000            0.419502            1.433898            0.228328
  6.290000            0.423993            1.444546            0.229658
  6.300000            0.427438            1.452639            0.230578
  6.310000            0.429917            1.458421            0.231129
  6.320000            0.431501            1.462099            0.231345
  6.330000            0.432257            1.463850            0.231256
